userName,score,at,content,sentiment_label,sentiment_score
Rosanni Damanik,5,2026-05-05 16:38:47,sangat terbantu dgn adanya aplikasi jkn mobile,Happy,0.9230400919914246
November Rain,5,2026-05-05 16:37:48,good luck,Happy,0.948050320148468
Yusmaniar Nurahman,4,2026-05-05 15:44:10,sangat bagus,Happy,0.8793524503707886
AnnisaNur'ainiUtami,5,2026-05-05 15:35:13,"bagus, menghindari serobot antrian",Happy,0.9676737785339355
Wandi Surahman,5,2026-05-05 15:32:44,mantap,Happy,0.8627778887748718
suwerdizal dizal,5,2026-05-05 15:31:56,Good,Anger,0.43648019433021545
Albiyanu Biyan,5,2026-05-05 15:18:47,bagus,Happy,0.9450773596763611
Uklik Cirebon,5,2026-05-05 15:09:24,ok,Sadness,0.3796479403972626
Dedi Surianto,5,2026-05-05 15:06:47,bermanfaat,Happy,0.9201316237449646
Suhandi Ujang,5,2026-05-05 15:04:07,sangat membantu,Happy,0.963844895362854
Herawati Ay abbas,5,2026-05-05 15:00:14,mudah di askes,Happy,0.8431326150894165
Tulö'asa Ndruru,5,2026-05-05 14:58:25,Excellent,Anger,0.3651669919490814
Muhamad Idris,5,2026-05-05 14:57:59,"Terimakasih Mobile JKN,,😊😃🙏😃 memudahkan saya pindah lokasi tempat tinggal,menyesuaikan KTP.👍☺️🙏",Love,0.6747222542762756
Michael Sitanggang,1,2026-05-05 14:57:18,"apk nya lambat, terutama saat pengiriman otp",Fear,0.45387375354766846
MAS MANTRI SAPI,5,2026-05-05 14:50:03,semakin baik saja,Happy,0.8662446737289429
Ruyani Ian,5,2026-05-05 14:49:08,puas,Happy,0.7963570952415466
Dhevi Arviana,1,2026-05-05 14:42:07,ampas,Anger,0.6300955414772034
fitria anggraeni,1,2026-05-05 14:39:08,"TIBA² LOGOUT SENDIRI, MAO MASUK AJA LOGIN GABISA², PAYAHH !!!",Anger,0.9174351692199707
Robby Febrina,1,2026-05-05 14:34:27,Aplikasi jelek suka log out 😡,Anger,0.7622679471969604
Adam Puspabhuana,1,2026-05-05 14:34:17,"ora jelas, katanya antrean lewat aplikasi ini, tapi malah aplikasi nya lemod, lama daftar, ujung2nya antrean penuh, jadi bikin stress",Sadness,0.38717612624168396
indrawati indrawati,5,2026-05-05 14:12:55,sangat membantu,Happy,0.963844895362854
Amran,1,2026-05-05 14:10:41,susah kali cok dapat OTP via nomor hp,Sadness,0.5591729879379272
Mohamad Alwi,5,2026-05-05 14:04:14,"Okee, tp tolong jangan terlalu sering disuruh up date ya bikin ribed",Fear,0.3341704308986664
Wulan Nurdawiyanti,5,2026-05-05 14:03:10,sangat membantu,Happy,0.963844895362854
oktavia syafitri,1,2026-05-05 14:00:06,jelek bgt si ni apk nya update mulu,Anger,0.8730933666229248
Beni Syahroni,5,2026-05-05 13:58:38,mantap sekali,Love,0.6852072477340698
Yanto Btm,1,2026-05-05 13:53:51,buat susah aja ini......ribettttgtt,Anger,0.7822717428207397
nicho rf,1,2026-05-05 13:50:13,bosok,Sadness,0.35316625237464905
