userName,score,at,content
Rosanni Damanik,5,2026-05-05 16:38:47,sangat terbantu dgn adanya aplikasi jkn mobile
November Rain,5,2026-05-05 16:37:48,good luck
Yusmaniar Nurahman,4,2026-05-05 15:44:10,sangat bagus
AnnisaNur'ainiUtami,5,2026-05-05 15:35:13,"bagus, menghindari serobot antrian"
Wandi Surahman,5,2026-05-05 15:32:44,mantap
suwerdizal dizal,5,2026-05-05 15:31:56,Good
Albiyanu Biyan,5,2026-05-05 15:18:47,bagus
Uklik Cirebon,5,2026-05-05 15:09:24,ok
Dedi Surianto,5,2026-05-05 15:06:47,bermanfaat
Suhandi Ujang,5,2026-05-05 15:04:07,sangat membantu
Herawati Ay abbas,5,2026-05-05 15:00:14,mudah di askes
Tulö'asa Ndruru,5,2026-05-05 14:58:25,Excellent
Muhamad Idris,5,2026-05-05 14:57:59,"Terimakasih Mobile JKN,,😊😃🙏😃 memudahkan saya pindah lokasi tempat tinggal,menyesuaikan KTP.👍☺️🙏"
Michael Sitanggang,1,2026-05-05 14:57:18,"apk nya lambat, terutama saat pengiriman otp"
MAS MANTRI SAPI,5,2026-05-05 14:50:03,semakin baik saja
Ruyani Ian,5,2026-05-05 14:49:08,puas
Dhevi Arviana,1,2026-05-05 14:42:07,ampas
fitria anggraeni,1,2026-05-05 14:39:08,"TIBA² LOGOUT SENDIRI, MAO MASUK AJA LOGIN GABISA², PAYAHH !!!"
Robby Febrina,1,2026-05-05 14:34:27,Aplikasi jelek suka log out 😡
Adam Puspabhuana,1,2026-05-05 14:34:17,"ora jelas, katanya antrean lewat aplikasi ini, tapi malah aplikasi nya lemod, lama daftar, ujung2nya antrean penuh, jadi bikin stress"
indrawati indrawati,5,2026-05-05 14:12:55,sangat membantu
Amran,1,2026-05-05 14:10:41,susah kali cok dapat OTP via nomor hp
Mohamad Alwi,5,2026-05-05 14:04:14,"Okee, tp tolong jangan terlalu sering disuruh up date ya bikin ribed"
Wulan Nurdawiyanti,5,2026-05-05 14:03:10,sangat membantu
oktavia syafitri,1,2026-05-05 14:00:06,jelek bgt si ni apk nya update mulu
Beni Syahroni,5,2026-05-05 13:58:38,mantap sekali
Yanto Btm,1,2026-05-05 13:53:51,buat susah aja ini......ribettttgtt
nicho rf,1,2026-05-05 13:50:13,bosok
Code Gold,5,2026-05-05 13:48:08,cukup bagus
Joko Purnomo,5,2026-05-05 13:42:54,Terimakasih atas layanan mobile JKN
walke Down,1,2026-05-05 13:28:23,apk hancur...buat daftar saja seperti tes masuk PNS
Ahmad Sofyan,1,2026-05-05 13:28:22,pelayanan ngga kompeten
Humaedi Saputra,5,2026-05-05 13:26:31,Coba dulu ah..
Hadi Yanto,5,2026-05-05 13:24:48,ist good terimkasih
Gio Arfan arsyif,5,2026-05-05 13:24:48,"kocak banget dah asli nih apk nya gjelas (aku kasih bintang 5) biar seneng aja, lagian juga nih apk ny cuma bikin otak belibet sama buang"" waktu gw doang mending apus aja nih aplikasi nya!!!"
Erny Wati,5,2026-05-05 13:24:22,mudah digunakan
caselya,1,2026-05-05 13:20:41,aplikasi aneh ga niat buat
sugiono boiler,5,2026-05-05 13:18:42,tolong bantu saya biar bisa download Tampa harus menghapus aplikasi yang lain terimakasih
nur hamilah,5,2026-05-05 13:16:22,aplikasi bagus bisa membantu
Tri sulistyaningsih Sulistyaningsih,5,2026-05-05 13:14:05,bikin pusing
Adryan (Ryan),1,2026-05-05 12:57:05,sms untuk registrasi gak masuk-masuk
Rock Star,1,2026-05-05 12:55:58,"apk nya ribet harus masukin mulu akun no kk sm pw, nge screenshot data pribadi (PRIBADI!) aja di blokir akses udh kyk fitur skali liat di wangsap, udh kyk mbanking juga sih kyknya"
Terlahir Tampan,1,2026-05-05 12:55:42,"UPDATE MALAH KELUAR AKUNYA SENDIRI, PAS MASUK MALAH GABISA, APPS KONYOL"
Tri tomo,5,2026-05-05 12:54:10,cepat... akses oke.... update oke...
rino rino (Rinorin),1,2026-05-05 12:51:51,"ini aplikasi nyusahin orang, kode OTP lewat SMS lemot banget kirimnya, pas dapet OTP aplikasi ngulang lagi, begitu terus, kalau pakai WA saja kenapa sih ribet banget. Hai pengembang baca apa itu comment biar di perbaiki dengan yang lebih baik."
Sukriya Zarta,3,2026-05-05 12:51:27,"logout tanpa perintah, jd harus login masukin kode captcha berkali-kali. sangat melelahkan"
Yusril Paputungan,4,2026-05-05 12:48:47,sangat membantu
youciang njo,1,2026-05-05 12:48:14,cukup bintang 1 sangat jelek sekarang mobile jkn mau ngisi skrening data kesehatan sangat lemot
WAHYU EFFENDY U N WIJAYA,5,2026-05-05 12:45:38,baik
Surya Nurjaman,5,2026-05-05 12:42:34,sangat membantu untuk pendaftaran ke paskes secara online
Aris Sandi,5,2026-05-05 12:33:46,"untuk tambahan update kedepan nya ,tolong tambahkan fitur ganti akun 1 ke akun yg lain ,karna menurut saya sangat ribet, kalau 1 keluarga dan masih 1 Kartu Keluarga harus keluar atau masuk terlebih dahulu untuk berganti akun ."
Mira Susanti,5,2026-05-05 12:29:36,baik
Wiki Wijaya,5,2026-05-05 12:18:48,Perbaiki & Fokus ke pelayanan masyarakat. Semoga masyarakat Indonesia sehat selalu
Katamso Mernek,5,2026-05-05 12:17:32,pelayanan bagus
Rizal Tri Mulya Arasyd,1,2026-05-05 12:16:27,ini pulsanya harus ngisi 120 triliun kayaknya
Yudha Agiansyah,5,2026-05-05 12:13:21,ok
Rendi saputra,3,2026-05-05 12:07:05,vermuk nya waktu mau daftar gak bisa bisa kenapa ya
